chr,start,end,gene_ID,exon_number,strand,gene_name,isoforms
chr3R,2648220,2648518,FBgn0000003,1,+,NA,1
chr2R,18024496,18024713,FBgn0000008,1,+,a,1
chr2R,18025505,18025756,FBgn0000008,2,+,a,1
chr2R,18039159,18039200,FBgn0000008,3,+,a,1
chr2R,18050410,18051199,FBgn0000008,4,+,a,1
chr2R,18052282,18052494,FBgn0000008,5,+,a,1
chr2R,18056749,18058222,FBgn0000008,6,+,a,1
chr2R,18058283,18059490,FBgn0000008,7,+,a,1
chr2R,18059587,18059757,FBgn0000008,8,+,a,1
chr2R,18059821,18059938,FBgn0000008,9,+,a,1
chr2R,18060002,18060346,FBgn0000008,10,+,a,1
chr3R,12654643,12655767,FBgn0000014,1,-,abd-A,1
chr3R,12652857,12653619,FBgn0000014,2,-,abd-A,1
chr3R,12651773,12652029,FBgn0000014,3,-,abd-A,1
chr3R,12648144,12648191,FBgn0000014,4,-,abd-A,1
chr3R,12635854,12636077,FBgn0000014,5,-,abd-A,1
chr3R,12632936,12635783,FBgn0000014,6,-,abd-A,1
chr3R,12797481,12797958,FBgn0000015,1,-,Abd-B,1
chr3R,12768975,12769021,FBgn0000015,2,-,Abd-B,1
chr3R,12761649,12761826,FBgn0000015,3,-,Abd-B,1
chr3R,12757124,12757335,FBgn0000015,4,-,Abd-B,1
chr3R,12756838,12757039,FBgn0000015,5,-,Abd-B,1
chr3R,12755360,12755574,FBgn0000015,6,-,Abd-B,1
chr3R,12752932,12755302,FBgn0000015,7,-,Abd-B,1
chr3L,16639910,16640982,FBgn0000017,1,-,Abl,1
chr3L,16621763,16622306,FBgn0000017,2,-,Abl,1
chr3L,16621274,16621689,FBgn0000017,3,-,Abl,1
chr3L,16620602,16621188,FBgn0000017,4,-,Abl,1
chr3L,16620022,16620292,FBgn0000017,5,-,Abl,1
chr3L,16619843,16619963,FBgn0000017,6,-,Abl,1
chr3L,16619628,16619716,FBgn0000017,7,-,Abl,1
chr3L,16615470,16618374,FBgn0000017,8,-,Abl,1
chr2L,10974268,10975273,FBgn0000018,1,-,abo,1
chr2L,10973443,10974210,FBgn0000018,2,-,abo,1
chrX,264064,264980,FBgn0000022,1,+,ac,1
chr3R,9085175,9085240,FBgn0000024,1,-,Ace,1
chr3R,9084025,9084147,FBgn0000024,2,-,Ace,1
chr3R,9071532,9072376,FBgn0000024,3,-,Ace,1
chr3R,9069983,9070121,FBgn0000024,4,-,Ace,1
chr3R,9069308,9069853,FBgn0000024,5,-,Ace,1
chr3R,9068941,9069148,FBgn0000024,6,-,Ace,1
chr3R,9063779,9063921,FBgn0000024,7,-,Ace,1
chr3R,9062851,9063000,FBgn0000024,8,-,Ace,1
chr3R,9058683,9058846,FBgn0000024,9,-,Ace,1
chr3R,9058401,9058564,FBgn0000024,10,-,Ace,1
chr3R,9053964,9055492,FBgn0000024,11,-,Ace,1
chrX,15272222,15272487,FBgn0000028,1,-,acj6,1
chrX,15271594,15271626,FBgn0000028,2,-,acj6,1
chrX,15266185,15266241,FBgn0000028,3,-,acj6,1
chrX,15265545,15265721,FBgn0000028,4,-,acj6,1
chrX,15248788,15248986,FBgn0000028,5,-,acj6,1
chrX,15248569,15248709,FBgn0000028,6,-,acj6,1
chrX,15248260,15248491,FBgn0000028,7,-,acj6,1
chrX,15247258,15247415,FBgn0000028,8,-,acj6,1
chrX,15246367,15247200,FBgn0000028,9,-,acj6,1
chrX,15245315,15245991,FBgn0000028,10,-,acj6,1
chr3R,25818984,25819130,FBgn0000032,1,-,Acph-1,1
chr3R,25818708,25818903,FBgn0000032,2,-,Acph-1,1
chr3R,25818551,25818649,FBgn0000032,3,-,Acph-1,1
chr3R,25817805,25818494,FBgn0000032,4,-,Acph-1,1
chr3R,25817476,25817734,FBgn0000032,5,-,Acph-1,1
chr3R,25816863,25817415,FBgn0000032,6,-,Acph-1,1
chr3R,20282157,20282651,FBgn0000036,1,-,nAChRalpha1,1
chr3R,20277617,20278355,FBgn0000036,2,-,nAChRalpha1,1
chr3R,20247417,20247626,FBgn0000036,3,-,nAChRalpha1,1
chr3R,20240569,20240613,FBgn0000036,4,-,nAChRalpha1,1
chr3R,20238230,20238339,FBgn0000036,5,-,nAChRalpha1,1
chr3R,20233040,20233220,FBgn0000036,6,-,nAChRalpha1,1
chr3R,20230691,20231151,FBgn0000036,7,-,nAChRalpha1,1
chr3R,20230404,20230615,FBgn0000036,8,-,nAChRalpha1,1
chr3R,20228937,20229232,FBgn0000036,9,-,nAChRalpha1,1
chr3R,20226948,20227667,FBgn0000036,10,-,nAChRalpha1,1
chr2R,20277121,20277235,FBgn0000037,1,-,mAChR-A,1
chr2R,20271447,20272571,FBgn0000037,2,-,mAChR-A,1
chr2R,20270959,20271142,FBgn0000037,3,-,mAChR-A,1
chr2R,20270764,20270900,FBgn0000037,4,-,mAChR-A,1
chr2R,20266159,20269379,FBgn0000037,5,-,mAChR-A,1
chr3L,4429349,4429502,FBgn0000038,1,+,nAChRbeta1,1
chr3L,4429566,4429715,FBgn0000038,2,+,nAChRbeta1,1
chr3L,4432386,4432522,FBgn0000038,3,+,nAChRbeta1,1
chr3L,4433305,4433459,FBgn0000038,4,+,nAChRbeta1,1
chr3L,4433615,4434059,FBgn0000038,5,+,nAChRbeta1,1
chr3L,4434490,4435089,FBgn0000038,6,+,nAChRbeta1,1
chr3L,4435175,4435993,FBgn0000038,7,+,nAChRbeta1,1
chr3R,20311164,20311922,FBgn0000039,1,+,nAChRalpha2,1
chr3R,20312853,20313007,FBgn0000039,2,+,nAChRalpha2,1
chr3R,20313145,20313325,FBgn0000039,3,+,nAChRalpha2,1
chr3R,20314174,20314333,FBgn0000039,4,+,nAChRalpha2,1
chr3R,20314503,20315088,FBgn0000039,5,+,nAChRalpha2,1
chr3R,20315321,20315522,FBgn0000039,6,+,nAChRalpha2,1
chr3R,20316540,20316875,FBgn0000039,7,+,nAChRalpha2,1
chrX,5794894,5795046,FBgn0000042,1,+,Act5C,1
chrX,5796723,5798821,FBgn0000042,2,+,Act5C,1
chr2R,1903082,1903190,FBgn0000043,1,-,Act42A,1
chr2R,1901415,1902927,FBgn0000043,2,-,Act42A,1
chr2R,16831533,16831661,FBgn0000044,1,+,Act57B,1
chr2R,16832349,16833945,FBgn0000044,2,+,Act57B,1
chr3L,21978310,21978348,FBgn0000045,1,+,Act79B,1
chr3L,21978425,21979375,FBgn0000045,2,+,Act79B,1
